0,1,2,3,4
영문,국문,내용  요약,원문,"참조
문헌"
"Acceptance 
Criteria","적합기준,  허용기준치","시험결과가적합한지판단하는기준이되는수치한도,범위,기타적절한
척도","Numerical    limits,  ranges,  or  other  suitable  measures  for  acceptance  of  test 
results.",Ref    2
,,"적합품질수준  및  부적합품질수준과  같이,  로트  또는  배치(또는  달
리  편의를  위해  설정한    제조  단위의  하위그룹)의  적부를  결정하
기  위해  필요한  제품  규격과  적부  기준  및  관련  검체  채취  계획","Acceptance    criteria  means  the  product  specifications  and  acceptance/rejection 
criteria,    such  as  acceptable  quality  level  and  unacceptable  quality  level,  with 
an    associated  sampling  plan,  that  are  necessary  for  making  a  decision  to 
accept 
  or 
reject  a 
lot  or  batch 
(or  any  other  convenient  subgroups  of 
manufactured    units).",Ref    3
Accuracy,정확성,"측정값이    이미  알고  있는  참값이나  표준값에  근접한  정도를  말
한다.",N/A,Ref    17
Action  level,조치  수준,"미생물    또는  미립자  수준  등이  초과했을  때  즉각적인  확인  및 
시정  조치가  필요한  설정  기준","Established    criteria,  e.g.  microbial  or  particulate  levels,  requiring  immediate 
follow-up    and  corrective  action  if  exceeded.",Ref    11
"Active 
ingredient","유효성분,    주성분","유효성분이란    질병을  진단,  치료,  완화,  처치  또는  예방함에  있어 
약리  작용  또는  기타  직접적인  영향을  제공하거나  인간  또는  동
물의  체내  구조  또는    다른  기능에  영향을  미치고자  하는  원료를 
의미한다.  유효성분에는  특정  작용  또는  효과를  제공하기  위하여 
완제의약품  제조  과정에서  화학적인    변화를  거쳐  변형된  형태로 
완제의약품  내에  존재하게  되는  원료를  포함한다.","Active 
 
ingredient  means 
any 
component 
that 
is 
intended 
to 
furnish 
pharmacological 
 
activity  or  other  direct 
effect 
in 
the  diagnosis, 
cure, 
mitigation,    treatment,  or  prevention  of  disease,  or  to  affect  the  structure  or 
any    function  of  the  body  of  man  or  other  animals.  The  term  includes  those   
components  that  may  undergo  chemical  change  in  the  manufacture  of  the 
drug 
  product  and  be  present 
in 
the  drug  product 
in  a  modified 
form 
intended  to    furnish  the  specified  activity  or  effect.",Ref    3
"Active 
pharmaceuti
cal 
ingredient 
(API)","원료의약품,  활성성분,   
유효성분,  주성분","의약품    제조에  사용되며  이때  해당  의약품에서  활성성분이  되는 
성분  또는  성분들의  혼합물.  이러한  성분의  기능은  질병을  진단, 
치료,  완화,  처치    또는  예방함에  있어  약리  작용  또는  기타  직접
적인  영향을  제공하거나  신체  구조  및  기능에  영향을  미치는  것
이다.","Any 
 
substance  or  mixture  of 
substances 
intended 
to  be  used 
in 
the 
manufacture  of 
  a  pharmaceutical  dosage 
form  and 
that,  when  so  used, 
becomes  an  active 
 
ingredient  of 
that  pharmaceutical  dosage 
form.  Such 
substances  are  intended    to  furnish  pharmacological  activity  or  other  direct 
effect  in  the  diagnosis,    cure,  mitigation,  treatment,  or  prevention  of  disease 
or  to  affect  the    structure  and  function  of  the  body.",Ref    5
,,"의약품  제조에  사용되며  이때  해당  의약품에서  활성성분이  되는 
성분  또는  성분들의    혼합물.  이러한  성분의  기능은  질병을  진단, 
치료,  완화,  처치  또는  예방함에  있어  약리  작용  또는  기타  직접
적인  영향을  제공하거나  신체    구조  및  기능에  영향을  미치는  것
이다.","Any 
 
substance  or  mixture  of 
substances 
intended 
to  be  used 
in 
the 
manufacture  of 
  a  drug 
(medicinal)  product  and 
that,  when  used 
in 
the 
production  of  a  drug,    becomes  an  active  ingredient  of  the  drug  product. 
Such  substances  are    intended  to  furnish  pharmacological  activity  or  other 
direct  effect  in  the    diagnosis,  cure,  mitigation,  treatment,  or  prevention  of 
disease  or  to  affect    the  structure  and  function  of  the  body.",Ref    2
,,"합성,  발효,  추출  등  또는  이들의  조합에  의하여  제조된  물질로서 
완제의약품의  제조에    사용되는  것을  말한다.",N/A,Ref    15
Actual  yield,"실  생산량,  수량,    수
득량","실생산량이란    특정  완제의약품을  제조,  가공  또는  포장하는  적절
한  단계에서  실제로  생산된  양을  의미한다.","Actual    yield  means  the  quantity  that  is  actually  produced  at  any  appropriate 
phase    of  manufacture,  processing,  or  packing  of  a  particular  drug  product.",Ref    3
,,제조공정에서  실제로  얻은  양을  말한다.,N/A,Ref    15
"Advanced 
Electronic 
Signature",첨단  전자    서명,"(EU)다음기준에부합하는전자서명을의미한다.
(a)서명인과연결된특별한방식이다.
(b)서명인을확인할수있는방식이다
(c)서명인자신의통제하에서유지할수있는수단을사용하여생성된다.
(d)모든데이터변경을감지할수있는방식으로데이터와연계되어있다","(EU)meansanelectronicsignature,whichmeetsthefollowingrequirements:
(a)itisuniquelylinkedtothesignatory;
(b)itiscapableofidentifyingthesignatory;
(c)itiscreatedusingmeansthatthesignatorycanmaintainunderhiscontrol;and
(d)itislinkedtothedatatowhichitrelatesinsuchamannerthatanychangeofthedataisdete
ctable.",Ref    1
,,,,
"Airlock, 
Air-Lock","에어로크,  전실","문이    2개  이상  있는  밀폐  공간으로  작업실  출입  시  공기  흐름을 
관리하기  위해  2개  이상의  방  사이,  예를  들어  청정도가  서로  다
른  작업실    사이에  설치한다.  에어로크는  사람  또는  물품  및/또는 
설비의  이동을  위해  설계한다.","An    enclosed  space  with  two  or  more  doors,  which  is  interposed  between 
two  or    more  rooms,  e.g.  of  differing  classes  of  cleanliness,  for  the  purpose 
of    controlling  the  air  flow  between  those  rooms  when  they  need  to  be 
entered.  An 
  airlock 
is  designed 
for  use  either  by  people  or 
for  goods 
and/or  equipment.",Ref    5
,,"문이  2개  이상  있는  밀폐  공간으로  작업실  출입  시  공기  흐름을 
관리하기  위해  2개    이상의  방  사이,  예를  들어  청정도가  서로  다
른  작업실  사이에  설치한다.  에어로크는  사람  또는  물품  및/또는 
설비의  이동을  위해  설계한다.","An 
  enclosed 
space  with 
two  or  more  doors,  and  which 
is 
interposed 
between  two  or    more  rooms,  e.g.  of  differing  class  of  cleanliness,  for  the 
purpose  of    controlling  the  air-flow  between  those  rooms  when  they  need  to 
be  entered.  An    air-lock  is  designed  for  and  used  by  either  people  or  goods.",Ref    4
"Alert  limits 
(environment
al 
monitoring)","경고한계(환경모니터
링)","정상적인    작업  조건에서  벗어나는  잠재적인  추이에  대하여  조기 
경보를  주기  위해  설정하는  미생물  또는  미립자  수준으로  명확한 
시정  조치를  실시할    근거가  되지는  않지만  추후  조사를  실시해
야  한다.","Established    microbial  or  particulate  levels  giving  early  warning  of  potential 
drift  from    normal  operating  conditions  which  are  not  necessarily  grounds  for 
definitive    corrective  action  but  which  require  follow-up  investigation.",Ref    11
"Alert  limits 
(media  fill)",경고한계(배지    충전),"양성    배지  충전  단위에  대하여  설정하는  기준  또는  개수로  원인
을  조사하여야  하나  명확한  시정  조치를  실시할  근거가  되지는 
않는  기준","Established    levels  or  numbers  of  positive  media  filled  units,  the  cause  of 
which  should 
  be 
investigated,  but  which  are  not  necessarily  grounds 
for 
definitive    corrective  action.",Ref    11
"Analytical 
Procedure",시험방법,"시험분석을    하기  위하여  상세히  기술한  일련의  시험과정을  말한
다.",N/A,Ref    17
Antimicrobial,항균제,미생물을    사멸시키거나  미생물의  성장  및  증식을  억제하는  물질,"An    agent  that  kills  microorganisms  or  suppresses  their  growth  and   
multiplication.",Ref    13
Antiseptic,방부제,"미생물을사멸하는것이아니라성장과발달을저해하는물질.
방부제는보통균체표면에적용한다.","A    substance  that  inhibits  the  growth  and  development  of  microorganisms 
without    necessarily  killing  them.  Antiseptics  are  usually  applied  to  body",Ref    13
,,,surfaces.,
